Target Distance: 1000, Step Size: 10
8639 (x, y) = (397.511, -50.0313)
8640 (x, y) = (389.8, -43.6639)
8641 (x, y) = (398.142, -38.1497)
8642 (x, y) = (406.72, -33.0096)
8643 (x, y) = (402.965, -23.7415)
8644 (x, y) = (401.074, -33.5611)
8645 (x, y) = (410.849, -35.6689)
8646 (x, y) = (413.516, -26.031)
8647 (x, y) = (419.067, -34.3487)
8648 (x, y) = (422.408, -43.7739)
8649 (x, y) = (428.81, -51.4562)
8650 (x, y) = (433.759, -42.7666)
8651 (x, y) = (425.827, -36.6761)
8652 (x, y) = (429.002, -46.159)
8653 (x, y) = (433.95, -37.4693)
8654 (x, y) = (434.26, -27.4741)
8655 (x, y) = (437.181, -17.9102)
8656 (x, y) = (428.342, -13.233)
8657 (x, y) = (420.52, -7.00316)
8658 (x, y) = (417.939, -16.6643)
8659 (x, y) = (412.169, -8.49691)
8660 (x, y) = (404.402, -14.796)
8661 (x, y) = (394.646, -12.6018)
8662 (x, y) = (395.132, -2.61361)
8663 (x, y) = (392.981, 7.15223)
8664 (x, y) = (387.139, -0.963976)
8665 (x, y) = (380.147, -8.11295)
8666 (x, y) = (386.48, -0.374044)
8667 (x, y) = (384.329, 9.3918)
8668 (x, y) = (375.532, 4.6363)
8669 (x, y) = (377.249, -5.21516)
8670 (x, y) = (378.878, 4.65116)
8671 (x, y) = (384.056, -3.90388)
8672 (x, y) = (387.894, -13.1384)
8673 (x, y) = (377.925, -13.9341)
8674 (x, y) = (368.324, -16.7286)
8675 (x, y) = (378.292, -17.5241)
8676 (x, y) = (388.192, -16.1126)
8677 (x, y) = (380.77, -9.4105)
8678 (x, y) = (374.506, -17.2052)
8679 (x, y) = (364.955, -14.2418)
8680 (x, y) = (372.317, -21.0093)
8681 (x, y) = (371.654, -11.0313)
8682 (x, y) = (363.943, -4.66391)
8683 (x, y) = (372.428, 0.627174)
8684 (x, y) = (377.53, 9.22787)
8685 (x, y) = (385.568, 15.1772)
8686 (x, y) = (395.491, 16.4132)
8687 (x, y) = (399.813, 25.4312)
8688 (x, y) = (391.47, 30.9453)
8689 (x, y) = (391.515, 20.9454)
8690 (x, y) = (382.937, 26.0851)
8691 (x, y) = (373.619, 29.7169)
8692 (x, y) = (364.271, 26.1675)
8693 (x, y) = (365.988, 16.316)
8694 (x, y) = (362.563, 25.7112)
8695 (x, y) = (362.695, 35.7103)
8696 (x, y) = (355.515, 42.6709)
8697 (x, y) = (364.048, 37.4554)
8698 (x, y) = (363.031, 47.4036)
8699 (x, y) = (367.353, 56.4217)
8700 (x, y) = (359.756, 62.9245)
8701 (x, y) = (355.434, 71.9424)
8702 (x, y) = (346.811, 66.8785)
8703 (x, y) = (352.725, 74.9427)
8704 (x, y) = (346.955, 83.1101)
8705 (x, y) = (340.759, 90.9597)
8706 (x, y) = (342.737, 100.762)
8707 (x, y) = (341.545, 110.691)
8708 (x, y) = (348.474, 117.901)
8709 (x, y) = (357.097, 112.838)
8710 (x, y) = (353.178, 122.038)
8711 (x, y) = (345.411, 115.739)
8712 (x, y) = (345.456, 105.739)
8713 (x, y) = (336.016, 109.039)
8714 (x, y) = (328.96, 116.125)
8715 (x, y) = (324.879, 125.254)
8716 (x, y) = (327.203, 134.981)
8717 (x, y) = (336.804, 132.187)
8718 (x, y) = (345.952, 128.146)
8719 (x, y) = (338.298, 121.711)
8720 (x, y) = (342.135, 112.476)
8721 (x, y) = (351.283, 108.436)
8722 (x, y) = (358.211, 115.646)
8723 (x, y) = (349.291, 120.166)
8724 (x, y) = (341.524, 113.867)
8725 (x, y) = (333.134, 108.427)
8726 (x, y) = (341.119, 102.407)
8727 (x, y) = (336.638, 111.347)
8728 (x, y) = (344.46, 117.577)
8729 (x, y) = (334.573, 119.076)
8730 (x, y) = (340.197, 127.344)
8731 (x, y) = (330.646, 130.307)
8732 (x, y) = (338.89, 135.969)
8733 (x, y) = (328.909, 135.349)
8734 (x, y) = (321.255, 128.914)
8735 (x, y) = (320.945, 138.909)
8736 (x, y) = (313.643, 145.741)
8737 (x, y) = (318.437, 154.517)
8738 (x, y) = (312.813, 162.785)
8739 (x, y) = (308.651, 171.878)
8740 (x, y) = (311.488, 162.289)
8741 (x, y) = (301.507, 161.67)
8742 (x, y) = (296.636, 152.937)
8743 (x, y) = (286.825, 151.002)
8744 (x, y) = (296.758, 149.854)
8745 (x, y) = (302.012, 158.363)
8746 (x, y) = (304.933, 167.927)
8747 (x, y) = (312.971, 173.877)
8748 (x, y) = (309.546, 183.272)
8749 (x, y) = (299.702, 181.511)
8750 (x, y) = (307.792, 175.633)
8751 (x, y) = (300.992, 182.965)
8752 (x, y) = (296.83, 192.058)
8753 (x, y) = (290.775, 200.016)
8754 (x, y) = (299.735, 195.575)
8755 (x, y) = (307.097, 188.808)
8756 (x, y) = (302.381, 179.99)
8757 (x, y) = (311.092, 175.08)
8758 (x, y) = (302.701, 169.639)
8759 (x, y) = (299.028, 160.338)
8760 (x, y) = (298.365, 170.316)
8761 (x, y) = (299.557, 180.245)
8762 (x, y) = (290.76, 175.49)
8763 (x, y) = (284.846, 183.554)
8764 (x, y) = (293.994, 179.513)
8765 (x, y) = (302.084, 173.635)
8766 (x, y) = (306.722, 182.495)
8767 (x, y) = (316.666, 183.555)
8768 (x, y) = (320.666, 174.39)
8769 (x, y) = (317.576, 183.901)
8770 (x, y) = (310.036, 190.47)
8771 (x, y) = (303.567, 198.096)
8772 (x, y) = (295.129, 192.73)
8773 (x, y) = (291.787, 183.304)
8774 (x, y) = (287.465, 192.322)
8775 (x, y) = (278.627, 196.999)
8776 (x, y) = (269.667, 192.558)
8777 (x, y) = (270.771, 182.619)
8778 (x, y) = (262.528, 188.28)
8779 (x, y) = (267.087, 179.38)
8780 (x, y) = (262.686, 170.401)
8781 (x, y) = (265.607, 179.965)
8782 (x, y) = (271.872, 172.17)
8783 (x, y) = (261.904, 171.374)
8784 (x, y) = (269.022, 164.351)
8785 (x, y) = (278.982, 165.235)
8786 (x, y) = (288.655, 167.773)
8787 (x, y) = (290.022, 177.679)
8788 (x, y) = (296.007, 169.668)
8789 (x, y) = (294.029, 179.47)
8790 (x, y) = (297.287, 188.925)
8791 (x, y) = (292.261, 180.279)
8792 (x, y) = (299.126, 173.008)
8793 (x, y) = (290.166, 168.567)
8794 (x, y) = (281.499, 173.554)
8795 (x, y) = (272.03, 170.338)
8796 (x, y) = (270.926, 160.399)
8797 (x, y) = (264.062, 153.127)
8798 (x, y) = (254.651, 149.744)
8799 (x, y) = (259.368, 140.926)
8800 (x, y) = (252.376, 133.777)
8801 (x, y) = (249.624, 124.163)
8802 (x, y) = (259.524, 125.574)
8803 (x, y) = (266.516, 118.426)
8804 (x, y) = (266.118, 108.434)
8805 (x, y) = (256.834, 104.719)
8806 (x, y) = (251.431, 113.134)
8807 (x, y) = (257.2, 121.301)
8808 (x, y) = (254.449, 111.687)
8809 (x, y) = (263.287, 116.365)
8810 (x, y) = (271.63, 121.879)
8811 (x, y) = (276.883, 130.388)
8812 (x, y) = (281.985, 138.989)
8813 (x, y) = (291.778, 141.01)
8814 (x, y) = (282.595, 144.97)
8815 (x, y) = (290.889, 139.382)
8816 (x, y) = (298.31, 146.084)
8817 (x, y) = (305.239, 153.295)
8818 (x, y) = (315.014, 151.187)
8819 (x, y) = (305.32, 148.734)
8820 (x, y) = (296.481, 153.411)
8821 (x, y) = (292.725, 162.679)
8822 (x, y) = (297.127, 153.7)
8823 (x, y) = (287.333, 155.721)
8824 (x, y) = (292.359, 147.076)
8825 (x, y) = (284.321, 153.025)
8826 (x, y) = (294.244, 154.261)
8827 (x, y) = (284.244, 154.261)
8828 (x, y) = (288.882, 163.12)
8829 (x, y) = (298.851, 162.325)
8830 (x, y) = (308.427, 159.446)
8831 (x, y) = (298.54, 160.944)
8832 (x, y) = (307.857, 164.576)
8833 (x, y) = (301.732, 156.672)
8834 (x, y) = (292.181, 159.636)
8835 (x, y) = (285.512, 167.087)
8836 (x, y) = (289.754, 158.031)
8837 (x, y) = (280.177, 155.152)
8838 (x, y) = (270.421, 157.346)
8839 (x, y) = (263.18, 150.449)
8840 (x, y) = (260.856, 160.175)
8841 (x, y) = (262.398, 150.295)
8842 (x, y) = (260.074, 160.021)
8843 (x, y) = (253.949, 152.117)
8844 (x, y) = (262.387, 146.751)
8845 (x, y) = (254.621, 140.452)
8846 (x, y) = (256.599, 150.255)
8847 (x, y) = (265.437, 154.932)
8848 (x, y) = (255.451, 155.463)
8849 (x, y) = (247.912, 162.032)
8850 (x, y) = (244.404, 152.668)
8851 (x, y) = (254.404, 152.579)
8852 (x, y) = (253.917, 162.567)
8853 (x, y) = (260.973, 169.654)
8854 (x, y) = (251.004, 168.858)
8855 (x, y) = (241.006, 169.035)
8856 (x, y) = (245.167, 178.128)
8857 (x, y) = (235.215, 177.156)
8858 (x, y) = (225.588, 179.865)
8859 (x, y) = (220.185, 188.28)
8860 (x, y) = (210.968, 184.402)
8861 (x, y) = (220.88, 183.078)
8862 (x, y) = (223.886, 173.541)
8863 (x, y) = (232.806, 178.061)
8864 (x, y) = (239.606, 185.393)
8865 (x, y) = (230.321, 181.679)
8866 (x, y) = (227.4, 191.242)
8867 (x, y) = (235.331, 197.333)
8868 (x, y) = (242.633, 204.166)
8869 (x, y) = (252.157, 201.118)
8870 (x, y) = (260.499, 206.632)
8871 (x, y) = (252.409, 200.754)
8872 (x, y) = (254.99, 191.093)
8873 (x, y) = (255.123, 201.092)
8874 (x, y) = (254.902, 191.095)
8875 (x, y) = (262.94, 197.044)
8876 (x, y) = (271.425, 202.335)
8877 (x, y) = (262.045, 205.801)
8878 (x, y) = (272.044, 205.978)
8879 (x, y) = (280.529, 211.269)
8880 (x, y) = (270.835, 208.817)
8881 (x, y) = (266.513, 217.835)
8882 (x, y) = (256.613, 219.246)
8883 (x, y) = (257.276, 229.224)
8884 (x, y) = (259.08, 239.06)
8885 (x, y) = (258.064, 249.008)
8886 (x, y) = (255.227, 239.419)
8887 (x, y) = (248.299, 246.629)
8888 (x, y) = (247.724, 236.645)
8889 (x, y) = (238.472, 240.442)
8890 (x, y) = (235.806, 250.079)
8891 (x, y) = (229.821, 242.068)
8892 (x, y) = (238.701, 237.469)
8893 (x, y) = (242.209, 228.105)
8894 (x, y) = (235.807, 220.422)
8895 (x, y) = (228.041, 214.123)
8896 (x, y) = (236.619, 219.263)
8897 (x, y) = (228.528, 213.385)
8898 (x, y) = (236.722, 207.651)
8899 (x, y) = (244.376, 201.216)
8900 (x, y) = (254.276, 199.805)
8901 (x, y) = (244.29, 200.336)
8902 (x, y) = (252.483, 194.602)
8903 (x, y) = (248.002, 203.542)
8904 (x, y) = (243.208, 212.318)
8905 (x, y) = (251.646, 206.952)
8906 (x, y) = (250.104, 197.072)
8907 (x, y) = (242.066, 203.021)
8908 (x, y) = (248.603, 195.453)
8909 (x, y) = (238.744, 197.126)
8910 (x, y) = (242.905, 188.033)
8911 (x, y) = (252.345, 191.333)
8912 (x, y) = (244.052, 185.745)
8913 (x, y) = (237.188, 178.474)
8914 (x, y) = (246.262, 182.675)
8915 (x, y) = (245.775, 192.664)
8916 (x, y) = (254.308, 187.448)
8917 (x, y) = (258.788, 196.388)
8918 (x, y) = (265.457, 203.84)
8919 (x, y) = (256.108, 200.29)
8920 (x, y) = (247.109, 204.652)
8921 (x, y) = (253.713, 197.142)
8922 (x, y) = (245.946, 190.843)
8923 (x, y) = (239.751, 198.692)
8924 (x, y) = (249.741, 198.25)
8925 (x, y) = (244.116, 206.518)
8926 (x, y) = (245.132, 216.467)
8927 (x, y) = (253.474, 221.981)
8928 (x, y) = (249.801, 212.68)
8929 (x, y) = (243.537, 204.885)
8930 (x, y) = (252.417, 200.286)
8931 (x, y) = (255.338, 209.85)
8932 (x, y) = (260.054, 201.032)
8933 (x, y) = (253.19, 193.761)
8934 (x, y) = (258.138, 202.45)
8935 (x, y) = (268.113, 203.158)
8936 (x, y) = (278.082, 202.362)
8937 (x, y) = (274.908, 192.88)
8938 (x, y) = (267.141, 186.58)
8939 (x, y) = (270.814, 177.279)
8940 (x, y) = (280.714, 175.869)
8941 (x, y) = (275.843, 167.135)
8942 (x, y) = (276.329, 177.124)
8943 (x, y) = (278.995, 186.762)
8944 (x, y) = (269.259, 184.481)
8945 (x, y) = (277.136, 178.32)
8946 (x, y) = (267.42, 180.687)
8947 (x, y) = (264.584, 171.098)
8948 (x, y) = (263.744, 181.062)
8949 (x, y) = (273.705, 181.946)
8950 (x, y) = (281.186, 175.31)
8951 (x, y) = (291.045, 176.984)
8952 (x, y) = (293.881, 167.395)
8953 (x, y) = (283.883, 167.571)
8954 (x, y) = (276.286, 174.074)
8955 (x, y) = (285.635, 170.525)
8956 (x, y) = (276.417, 166.647)
8957 (x, y) = (283.153, 159.255)
8958 (x, y) = (273.628, 156.207)
8959 (x, y) = (280.93, 163.04)
8960 (x, y) = (278.349, 153.378)
8961 (x, y) = (278.305, 143.379)
8962 (x, y) = (271.187, 136.354)
8963 (x, y) = (269.732, 146.248)
8964 (x, y) = (277.499, 139.949)
8965 (x, y) = (272.246, 148.458)
8966 (x, y) = (278.441, 156.308)
8967 (x, y) = (281.447, 146.77)
8968 (x, y) = (286.241, 155.546)
8969 (x, y) = (296.035, 157.568)
8970 (x, y) = (291.873, 166.661)
8971 (x, y) = (283.162, 161.75)
8972 (x, y) = (284.529, 171.656)
8973 (x, y) = (294.373, 169.896)
8974 (x, y) = (304.045, 172.434)
8975 (x, y) = (294.495, 175.398)
8976 (x, y) = (304.338, 173.637)
8977 (x, y) = (301.333, 164.1)
8978 (x, y) = (308.635, 170.932)
8979 (x, y) = (318.558, 172.168)
8980 (x, y) = (311.317, 165.271)
8981 (x, y) = (305.914, 156.856)
8982 (x, y) = (305.87, 146.857)
8983 (x, y) = (313.908, 152.806)
8984 (x, y) = (318.624, 143.988)
8985 (x, y) = (327.942, 147.62)
8986 (x, y) = (323.382, 138.72)
8987 (x, y) = (313.396, 139.25)
8988 (x, y) = (311.592, 149.086)
8989 (x, y) = (307.592, 139.921)
8990 (x, y) = (298.753, 144.598)
8991 (x, y) = (304.523, 152.766)
8992 (x, y) = (296.869, 146.33)
8993 (x, y) = (287.4, 143.114)
8994 (x, y) = (290.742, 133.689)
8995 (x, y) = (300.182, 136.989)
8996 (x, y) = (291.427, 141.822)
8997 (x, y) = (281.634, 143.843)
8998 (x, y) = (272.522, 147.964)
8999 (x, y) = (276.03, 138.6)
9000 (x, y) = (266.713, 142.231)
9001 (x, y) = (258.675, 148.18)
9002 (x, y) = (253.272, 139.766)
9003 (x, y) = (263.206, 138.618)
9004 (x, y) = (260.711, 148.301)
9005 (x, y) = (270.701, 147.859)
9006 (x, y) = (261.232, 144.643)
9007 (x, y) = (257.477, 153.911)
9008 (x, y) = (257.167, 163.906)
9009 (x, y) = (261.409, 154.85)
9010 (x, y) = (259.954, 164.744)
9011 (x, y) = (259.026, 154.787)
9012 (x, y) = (252.762, 146.992)
9013 (x, y) = (249.84, 156.556)
9014 (x, y) = (239.841, 156.468)
9015 (x, y) = (234.29, 148.15)
9016 (x, y) = (229.264, 139.504)
9017 (x, y) = (226.855, 129.799)
9018 (x, y) = (236.295, 133.099)
9019 (x, y) = (244.005, 139.466)
9020 (x, y) = (253.607, 136.672)
9021 (x, y) = (263.301, 134.22)
9022 (x, y) = (258.585, 125.402)
9023 (x, y) = (267.66, 129.603)
9024 (x, y) = (257.66, 129.515)
9025 (x, y) = (249.082, 134.655)
9026 (x, y) = (239.107, 135.362)
9027 (x, y) = (230.268, 140.039)
9028 (x, y) = (225.166, 148.64)
9029 (x, y) = (218.833, 156.378)
9030 (x, y) = (220.55, 146.527)
9031 (x, y) = (210.606, 147.587)
9032 (x, y) = (220.48, 146.001)
9033 (x, y) = (230.196, 148.368)
9034 (x, y) = (240.192, 148.103)
9035 (x, y) = (231.118, 152.304)
9036 (x, y) = (225.94, 143.749)
9037 (x, y) = (235.936, 143.484)
9038 (x, y) = (245.889, 142.512)
9039 (x, y) = (253.37, 135.876)
9040 (x, y) = (255.348, 145.678)
9041 (x, y) = (261.884, 138.11)
9042 (x, y) = (252.109, 136.002)
9043 (x, y) = (246.053, 143.96)
9044 (x, y) = (242.298, 153.228)
9045 (x, y) = (238.543, 162.496)
9046 (x, y) = (234.952, 171.829)
9047 (x, y) = (226.759, 166.096)
9048 (x, y) = (219.105, 159.66)
9049 (x, y) = (209.106, 159.572)
9050 (x, y) = (201.068, 165.521)
9051 (x, y) = (204.492, 174.916)
9052 (x, y) = (212.634, 180.722)
9053 (x, y) = (202.653, 180.103)
9054 (x, y) = (211.573, 184.623)
9055 (x, y) = (206.935, 193.482)
9056 (x, y) = (203.677, 202.937)
9057 (x, y) = (193.849, 204.784)
9058 (x, y) = (203.624, 202.676)
9059 (x, y) = (213.452, 204.524)
9060 (x, y) = (205.972, 197.888)
9061 (x, y) = (202.881, 207.398)
9062 (x, y) = (195.58, 214.231)
9063 (x, y) = (187.648, 220.321)
9064 (x, y) = (182.699, 229.011)
9065 (x, y) = (192.667, 228.215)
9066 (x, y) = (187.043, 236.484)
9067 (x, y) = (194.345, 243.316)
9068 (x, y) = (184.346, 243.493)
9069 (x, y) = (183.242, 233.554)
9070 (x, y) = (180.661, 223.893)
9071 (x, y) = (178.252, 214.187)
9072 (x, y) = (187.601, 210.638)
9073 (x, y) = (177.615, 211.169)
9074 (x, y) = (174.525, 220.679)
9075 (x, y) = (164.768, 222.874)
9076 (x, y) = (155.451, 226.505)
9077 (x, y) = (164.948, 229.638)
9078 (x, y) = (162.112, 220.048)
9079 (x, y) = (153.579, 214.833)
9080 (x, y) = (160.444, 207.561)
9081 (x, y) = (169.592, 203.521)
9082 (x, y) = (178.876, 199.807)
9083 (x, y) = (184.428, 191.489)
9084 (x, y) = (192.819, 186.049)
9085 (x, y) = (201.966, 182.009)
9086 (x, y) = (211.463, 185.141)
9087 (x, y) = (207.141, 194.159)
9088 (x, y) = (206.037, 184.22)
9089 (x, y) = (200.486, 175.902)
9090 (x, y) = (199.294, 185.831)
9091 (x, y) = (192.825, 193.456)
9092 (x, y) = (191.37, 203.35)
9093 (x, y) = (198.966, 209.853)
9094 (x, y) = (203.447, 218.793)
9095 (x, y) = (205.338, 208.973)
9096 (x, y) = (202.08, 218.428)
9097 (x, y) = (198.739, 209.003)
9098 (x, y) = (203.764, 200.357)
9099 (x, y) = (213.558, 202.379)
9100 (x, y) = (206.823, 194.987)
9101 (x, y) = (211.849, 186.341)
9102 (x, y) = (221.817, 185.546)
9103 (x, y) = (215.348, 193.171)
9104 (x, y) = (221.543, 201.021)
9105 (x, y) = (225.461, 210.221)
9106 (x, y) = (228.969, 200.857)
9107 (x, y) = (219.822, 196.816)
9108 (x, y) = (211.945, 190.655)
9109 (x, y) = (213.749, 200.491)
9110 (x, y) = (223.649, 199.08)
9111 (x, y) = (219.649, 189.915)
9112 (x, y) = (209.655, 190.269)
9113 (x, y) = (205.096, 181.369)
9114 (x, y) = (207.074, 191.171)
9115 (x, y) = (212.844, 199.339)
9116 (x, y) = (204.551, 193.751)
9117 (x, y) = (194.607, 194.811)
9118 (x, y) = (189.279, 186.349)
9119 (x, y) = (187.824, 196.242)
9120 (x, y) = (183.343, 205.182)
9121 (x, y) = (181.801, 195.302)
9122 (x, y) = (179.91, 185.482)
9123 (x, y) = (170.989, 190.002)
9124 (x, y) = (178.107, 182.978)
9125 (x, y) = (184.777, 190.43)
9126 (x, y) = (186.754, 200.232)
9127 (x, y) = (181.057, 192.014)
9128 (x, y) = (171.321, 189.733)
9129 (x, y) = (180.922, 186.939)
9130 (x, y) = (188.907, 180.919)
9131 (x, y) = (194.892, 172.908)
9132 (x, y) = (188.908, 164.896)
9133 (x, y) = (189.659, 154.924)
9134 (x, y) = (198.145, 160.215)
9135 (x, y) = (204.88, 152.824)
9136 (x, y) = (207.29, 143.118)
9137 (x, y) = (198.758, 137.903)
9138 (x, y) = (207.596, 142.58)
9139 (x, y) = (198.758, 147.257)
9140 (x, y) = (204.309, 138.939)
9141 (x, y) = (208.789, 147.88)
9142 (x, y) = (206.465, 157.606)
9143 (x, y) = (216.365, 159.017)
9144 (x, y) = (211.34, 150.372)
9145 (x, y) = (220.837, 153.504)
9146 (x, y) = (219.469, 163.41)
9147 (x, y) = (228.389, 167.93)
9148 (x, y) = (222.547, 159.814)
9149 (x, y) = (213.198, 156.265)
9150 (x, y) = (218.224, 147.619)
9151 (x, y) = (221.23, 138.082)
9152 (x, y) = (212.887, 143.596)
9153 (x, y) = (222.035, 139.555)
9154 (x, y) = (231.908, 137.97)
9155 (x, y) = (238.173, 130.175)
9156 (x, y) = (229.136, 125.893)
9157 (x, y) = (239.122, 126.424)
9158 (x, y) = (229.123, 126.601)
9159 (x, y) = (234.149, 117.955)
9160 (x, y) = (228.821, 109.493)
9161 (x, y) = (238.632, 107.559)
9162 (x, y) = (233.838, 116.335)
9163 (x, y) = (225.747, 110.457)
9164 (x, y) = (235.671, 111.693)
9165 (x, y) = (225.685, 112.223)
9166 (x, y) = (216.305, 115.689)
9167 (x, y) = (225.829, 112.642)
9168 (x, y) = (215.829, 112.553)
9169 (x, y) = (212.993, 102.964)
9170 (x, y) = (221.661, 107.951)
9171 (x, y) = (217.499, 117.044)
9172 (x, y) = (207.599, 118.455)
9173 (x, y) = (204.092, 109.091)
9174 (x, y) = (202.637, 118.984)
9175 (x, y) = (193.197, 122.284)
9176 (x, y) = (186.527, 129.735)
9177 (x, y) = (194.771, 135.396)
9178 (x, y) = (203.438, 140.383)
9179 (x, y) = (210.238, 147.716)
9180 (x, y) = (215.11, 138.983)
9181 (x, y) = (213.48, 148.849)
9182 (x, y) = (207.856, 157.117)
9183 (x, y) = (213.184, 148.655)
9184 (x, y) = (222.995, 146.721)
9185 (x, y) = (232.178, 150.68)
9186 (x, y) = (240.52, 156.194)
9187 (x, y) = (232.082, 150.828)
9188 (x, y) = (223.37, 145.918)
9189 (x, y) = (223.945, 135.935)
9190 (x, y) = (233.898, 134.963)
9191 (x, y) = (225.86, 140.912)
9192 (x, y) = (229.034, 131.429)
9193 (x, y) = (237.072, 137.378)
9194 (x, y) = (247.041, 136.583)
9195 (x, y) = (257.04, 136.495)
9196 (x, y) = (258.931, 126.675)
9197 (x, y) = (259.595, 136.653)
9198 (x, y) = (268.392, 131.898)
9199 (x, y) = (272.553, 122.805)
9200 (x, y) = (264.021, 117.589)
9201 (x, y) = (254.121, 119)
9202 (x, y) = (245.201, 123.52)
9203 (x, y) = (254.957, 125.715)
9204 (x, y) = (264.857, 124.304)
9205 (x, y) = (255.36, 127.436)
9206 (x, y) = (252.019, 118.011)
9207 (x, y) = (255.277, 127.465)
9208 (x, y) = (265.211, 126.317)
9209 (x, y) = (272.978, 120.019)
9210 (x, y) = (276.815, 110.784)
9211 (x, y) = (285.108, 105.196)
9212 (x, y) = (287.346, 95.45)
9213 (x, y) = (280.876, 103.075)
9214 (x, y) = (271.326, 106.039)
9215 (x, y) = (271.547, 96.0413)
9216 (x, y) = (280.584, 91.7597)
9217 (x, y) = (277.243, 82.3345)
9218 (x, y) = (286.56, 85.9665)
9219 (x, y) = (284.93, 95.8327)
9220 (x, y) = (276.998, 101.923)
9221 (x, y) = (286.755, 104.118)
9222 (x, y) = (277.153, 101.323)
9223 (x, y) = (285.592, 95.9575)
9224 (x, y) = (295.264, 98.4961)
9225 (x, y) = (290.315, 107.186)
9226 (x, y) = (285.756, 98.2855)
9227 (x, y) = (278.454, 105.118)
9228 (x, y) = (268.957, 108.25)
9229 (x, y) = (275.152, 116.1)
9230 (x, y) = (285.138, 116.631)
9231 (x, y) = (287.804, 126.268)
9232 (x, y) = (297.153, 122.719)
9233 (x, y) = (287.397, 124.914)
9234 (x, y) = (284.901, 134.597)
9235 (x, y) = (276.811, 128.719)
9236 (x, y) = (281.213, 119.74)
9237 (x, y) = (271.301, 118.416)
9238 (x, y) = (280.412, 122.538)
9239 (x, y) = (275.009, 130.952)
9240 (x, y) = (284.419, 127.569)
9241 (x, y) = (277.95, 135.195)
9242 (x, y) = (273.868, 144.324)
9243 (x, y) = (283.47, 141.53)
9244 (x, y) = (291.181, 147.897)
9245 (x, y) = (287.344, 138.663)
9246 (x, y) = (286.857, 148.651)
9247 (x, y) = (289.609, 139.037)
9248 (x, y) = (298.048, 133.671)
9249 (x, y) = (307.624, 130.792)
9250 (x, y) = (306.961, 140.77)
9251 (x, y) = (304.125, 131.181)
9252 (x, y) = (294.144, 130.562)
9253 (x, y) = (289.982, 139.655)
9254 (x, y) = (296.585, 132.145)
9255 (x, y) = (290.321, 124.35)
9256 (x, y) = (281.835, 129.641)
9257 (x, y) = (291.275, 132.941)
9258 (x, y) = (299.898, 127.877)
9259 (x, y) = (301.616, 118.026)
9260 (x, y) = (310.37, 122.859)
9261 (x, y) = (319.621, 126.656)
9262 (x, y) = (315.866, 135.924)
9263 (x, y) = (313.03, 126.334)
9264 (x, y) = (321.653, 121.271)
9265 (x, y) = (317.572, 130.4)
9266 (x, y) = (313.816, 139.668)
9267 (x, y) = (310.475, 130.243)
9268 (x, y) = (316.808, 137.982)
9269 (x, y) = (310.205, 130.472)
9270 (x, y) = (306.124, 139.601)
9271 (x, y) = (311.748, 147.869)
9272 (x, y) = (314.923, 138.387)
9273 (x, y) = (319.004, 147.516)
9274 (x, y) = (327.197, 141.782)
9275 (x, y) = (329.001, 151.618)
9276 (x, y) = (323.45, 143.3)
9277 (x, y) = (314.413, 139.019)
9278 (x, y) = (304.423, 138.576)
9279 (x, y) = (310.687, 130.782)
9280 (x, y) = (316.743, 138.74)
9281 (x, y) = (314.678, 128.955)
9282 (x, y) = (321.671, 121.807)
9283 (x, y) = (314.017, 115.371)
9284 (x, y) = (322.407, 109.931)
9285 (x, y) = (325.832, 119.326)
9286 (x, y) = (329.993, 128.419)
9287 (x, y) = (330.921, 118.463)
9288 (x, y) = (324.057, 111.191)
9289 (x, y) = (329.534, 119.558)
9290 (x, y) = (324.205, 111.096)
9291 (x, y) = (331.005, 118.428)
9292 (x, y) = (326.134, 109.695)
9293 (x, y) = (336.034, 108.284)
9294 (x, y) = (331.396, 117.143)
9295 (x, y) = (339.589, 111.409)
9296 (x, y) = (333.393, 119.259)
9297 (x, y) = (325.1, 113.671)
9298 (x, y) = (321.1, 104.506)
9299 (x, y) = (314.431, 111.957)
9300 (x, y) = (314.475, 101.957)
9301 (x, y) = (306.385, 96.0791)
9302 (x, y) = (297.546, 100.756)
9303 (x, y) = (288.049, 103.888)
9304 (x, y) = (284.959, 113.399)
9305 (x, y) = (276.974, 107.379)
9306 (x, y) = (284.741, 101.08)
9307 (x, y) = (277.03, 107.447)
9308 (x, y) = (285.608, 112.587)
9309 (x, y) = (294.756, 108.547)
9310 (x, y) = (293.039, 98.6952)
9311 (x, y) = (284.159, 94.0962)
9312 (x, y) = (275.405, 98.9291)
9313 (x, y) = (265.88, 95.881)
9314 (x, y) = (272.417, 88.3132)
9315 (x, y) = (280.66, 93.9742)
9316 (x, y) = (282.29, 103.841)
9317 (x, y) = (289.345, 110.927)
9318 (x, y) = (298.694, 107.378)
9319 (x, y) = (291.155, 113.948)
9320 (x, y) = (281.578, 111.069)
9321 (x, y) = (274.844, 103.677)
9322 (x, y) = (277.081, 93.9305)
9323 (x, y) = (276.418, 103.908)
9324 (x, y) = (268.651, 97.6093)
9325 (x, y) = (263.174, 105.976)
9326 (x, y) = (267.968, 114.752)
9327 (x, y) = (277.965, 114.487)
9328 (x, y) = (273.883, 123.616)
9329 (x, y) = (269.802, 132.745)
9330 (x, y) = (276.982, 139.706)
9331 (x, y) = (278.96, 149.508)
9332 (x, y) = (287.583, 144.445)
9333 (x, y) = (281.669, 152.509)
